"pchids" "biosyn_class" "organism_name" "mibig_accession" "ncbi_tax_id" "compounds.chem_struct" "compounds.compound" "compounds.molecular_formula"
"16727692" "NRP" "Fusarium equiseti" "BGC0000342" 61235 "CCCC[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)CC)C)C(C)C)C(C)C)C)C(C)C" "enniatin" "C35H61N3O9"
"34231" "NRP" "Pseudomonas sp. J465" "BGC0000343" 674034 "OC1=C(O)C(=CC=C1)C(=O)NC1COC(=O)C(COC(=O)C(COC1=O)NC(=O)C1=CC=CC(O)=C1O)NC(=O)C1=CC=CC(O)=C1O" "enterobactin" "C30H27N3O15"
"196802" "NRPPolyketide" "Streptomyces hygroscopicus" "BGC0000345" 1912 "CC(C)CCCCC(=O)NC(CO)C(=O)N[C@@H](CC(=C)C)C(=O)[C@]1(CO1)CO" "eponemycin" "C20H34N2O6"
"11226684" "NRPPolyketide" "Goodfellowiella coeruleoviolacea" "BGC0000346" 334858 "CC[C@H](C)[C@@H](C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)[C@]1(CO1)C)NC(=O)[C@H]([C@@H](C)CC)N(C)C(=O)C" "epoxomicin" "C28H50N4O7"
"102237795" "NRP" "Actinoplanes friuliensis" "BGC0000354" 196914 "C[C@@H]1[C@@H](C(=O)N2CCCC[C@@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@@H](C(=O)N[C@@H](C(=O)N3CCC[C@H]3C(=O)N1)C(C)C)[C@@H](C)N)CC(=O)O)CC(=O)O)[C@H](C)C(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)C/C=C\CCCCCCC(C)C" "friulimicin A" "C58H92N14O19"
NA "NRP" "Actinoplanes friuliensis" "BGC0000354" 196914 "CC1C(C(=O)N2CCCCC2C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)N3CCCC3C(=O)N1)C(C)C)C(C)N)CC(=O)O)CC(=O)O)C(C)C(=O)O)NC(=O)C(CC(=O)N)NC(=O)C/C=C/CCCCCCCC(C)C" "friulimicin B" "C59H94N14O19"
NA "NRP" "Actinoplanes friuliensis" "BGC0000354" 196914 "CCC(C)CCCCC/C=C/CC(=O)NC(CC(=O)N)C(=O)NC1C(NC(=O)C2CCCN2C(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C3CCCCN3C1=O)C(C)C(=O)O)CC(=O)O)CC(=O)O)C(C)N)C(C)C)C" "friulimicin C" "C58H92N14O19"
"102237800" "NRP" "Actinoplanes friuliensis" "BGC0000354" 196914 "CCC(C)CCCCCCC/C=C\CC(=O)N[C@@H](CC(=O)N)C(=O)N[C@H]1[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]3CCCCN3C1=O)[C@H](C)C(=O)O)CC(=O)O)CC(=O)O)[C@@H](C)N)C(C)C)C" "friulimicin D" "C60H96N14O19"
"11247802" "NRP" "Aspergillus fumigatus Af293" "BGC0000355" 330879 "[H][C@]12N[C@@H](C)C(=O)N1C1=CC=CC=C1[C@@]2(O)C[C@@]1([H])N2C(=O)C3=C(C=CC=C3)N=C2[C@H](C)NC1=O" "fumiquinazoline A" "C24H23N5O4"
"10003515" "NRP" "Aspergillus fumigatus Af293" "BGC0000355" 330879 "[H][C@]12N[C@@H](C)C(=O)N1C1=CC=CC=C1[C@@]21C[C@@]2([H])N3C(=O)C4=C(C=CC=C4)N=C3[C@](C)(NC2=O)O1" "fumiquinazoline C" "C24H21N5O4"
"9980845" "NRP" "Aspergillus fumigatus Af293" "BGC0000355" 330879 "C[C@H]1C(=O)N2[C@@H]3N1[C@]4(C5=NC6=CC=CC=C6C(=O)N5[C@H](C[C@@]3(C7=CC=CC=C72)O)C(=O)N4)C" "fumiquinazoline D" "C24H21N5O4"
"104862" "NRPAlkaloid" "Aspergillus fumigatus" "BGC0000356" 746128 "C/C(C)=C/[C@@H]1N2C3=C(C4=C2[C@@H](N5C([C@]6([H])CCCN6C([C@]5(O)[C@H]4O)=O)=O)CC(C)(C)OO1)C=CC(OC)=C3" "verruculogen" "C27H33N3O7"
"105113" "NRPAlkaloid" "Aspergillus fumigatus" "BGC0000356" 746128 "CC(=CCN1C2=C(C=CC(=C2)OC)C3=C1[C@@H](N4C(=O)[C@@H]5CCCN5C(=O)[C@@]4([C@H]3O)O)C=C(C)C)C" "fumitremorgin B" "C27H33N3O5"
"403923" "NRPAlkaloid" "Aspergillus fumigatus" "BGC0000356" 746128 "CC(=C[C@H]1C2=C(C[C@@H]3N1C(=O)[C@@H]4CCCN4C3=O)C5=C(N2)C=C(C=C5)OC)C" "fumitremorgin c" "C22H25N3O3"
NA "NRPAlkaloid" "Aspergillus fumigatus" "BGC0000356" 746128 "[H][C@@]12CCCN1C(=O)[C@]([H])(CC1=C(CC=C(C)C)NC3=C1C=CC(OC)=C3)NC2=O" "tryprostatin A" "C22H27N3O3"
"9863281" "NRPAlkaloid" "Aspergillus fumigatus" "BGC0000356" 746128 "[H][C@@]12CCCN1C(=O)[C@]([H])(CC1=C(CC=C(C)C)NC3=C1C=CC=C3)NC2=O" "tryprostatin B" "C21H25N3O2"
"10337896" "NRPAlkaloid" "Aspergillus fumigatus" "BGC0000356" 746128 "[H][C@@]12CCCN1C(=O)[C@]1([H])CC3=C(NC4=CC=CC=C34)[C@H](C=C(C)C)N1C2=O" "demethoxyfumitremorgin C" "C21H23N3O2"
"181567" "NRPAlkaloid" "Aspergillus fumigatus" "BGC0000356" 746128 "C1C[C@H]2C(=O)N[C@H](C(=O)N2C1)CC3=CNC4=CC=CC=C43" "brevianamide F" "C16H17N3O2"
"60166555" "NRP" "Thermobifida fusca YX" "BGC0000359" 269800 "C1C[C@@H](C(=O)OC[C@@H](C(=O)N(C1)O)NC(=O)CNC(=O)CNC(=O)[C@@H](CCCN=C(N)N)NC(=O)C2=C(C(=CC=C2)O)O)NC(=O)CNC(=O)CNC(=O)[C@@H](CCCN=C(N)N)NC(=O)C3=C(C(=CC=C3)O)O" "fuscachelin A" "C42H59N15O16"
"60166556" "NRP" "Thermobifida fusca YX" "BGC0000359" 269800 "C1=CC(=C(C(=C1)O)O)C(=O)N[C@H](CCCN=C(N)N)C(=O)NCC(=O)NCC(=O)N[C@@H](CCCN(C(=O)[C@H](CO)NC(=O)CNC(=O)CNC(=O)[C@@H](CCCN=C(N)N)NC(=O)C2=C(C(=CC=C2)O)O)O)C(=O)O" "fuscachelin B" "C42H61N15O17"
"102390328" "NRP" "Thermobifida fusca YX" "BGC0000359" 269800 "C1=CC(=C(C(=C1)O)O)C(=O)N[C@H](CCCN=C(N)N)C(=O)NCC(=O)NCC(=O)N[C@@H](CCCN(C(=O)[C@H](CO)NC(=O)CNC(=O)CNC(=O)[C@@H](CCCN=C(N)N)NC(=O)C2=C(C(=CC=C2)O)O)O)C(=O)N" "fuscachelin C" "C42H62N16O16"
"6223" "NRP" "Aspergillus fumigatus Af293" "BGC0000361" 330879 "CN1C(=O)[C@]23CC4=CC=C[C@H](O)[C@@H]4N2C(=O)[C@@]1(CO)SS3" "gliotoxin" "C13H14N2O4S2"
"194564" "NRP" "Aspergillus fumigatus Af293" "BGC0000361" 330879 "CN1C(=O)[C@@]2(CC3=CC=C[C@@H]([C@H]3N2C(=O)[C@@]1(CO)SC)O)SC" "bisdethiobis(methylthio)gliotoxin" "C15H20N2O4S2"
"46224591" "NRP" "Mycobacterium avium" "BGC0000362" 1764 "CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(CC(=O)N[C@H](CC1=CC=CC=C1)C(=O)N[C@H]([C@@H](C)OC2[C@@H]([C@@H]([C@@H]([C@@H](O2)C)O)O)O[C@H]3[C@@H]([C@@H]([C@H]([C@@H](O3)C)O)O[C@H]4[C@@H]([C@H]([C@H]5[C@H](O4)CO[C@](O5)(C)C(=O)O)OC)O)O)C(=O)N[C@H](C)C(=O)N[C@@H](C)COC6[C@@H]([C@@H]([C@H]([C@@H](O6)C)OC)OC)O)O.O" "glycopeptidolipid" "C81H142N4O27"
"16130140" "NRP" "Brevibacillus brevis NBRC 100599" "BGC0000367" 358681 "C[C@@H](C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC3=CNC4=CC=CC=C43)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC5=CNC6=CC=CC=C65)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC7=CNC8=CC=CC=C87)C(=O)NCCO)NC(=O)CNC(=O)[C@H](C(C)C)NC=O" "gramicidin" "C99H140N20O17"
"10262683" "NRP" "Streptomyces clavuligerus ATCC 27064" "BGC0000373" 443255 "CC(=O)NC1=C2SSC=C2NC1=O" "holomycin" "C7H6N2O2S2"
"5492261" "NRP" "Streptomyces chromofuscus" "BGC0000375" 42881 "C\1=C(C(=O)NC(=O)/C1=C/2\C=C(C(=O)NC2=O)N)N" "indigoidine" "C10H8N4O4"
"6438672" "NRP" "Streptomyces toxytricini" "BGC0000382" 67369 "CCCCCC[C@H]1[C@H](C[C@H](C\C=C/C\C=C/CCCCC)OC(=O)[C@H](CC(C)C)NC=O)OC1=O" "lipstatin" "C29H49NO5"
"91706" "NRP" "Lyngbya majuscula" "BGC0000384" 158786 "CC(C)[C@H]1C(=O)N[C@@H](CC2=CNC3=C(C=CC(=C23)N1C)[C@](C)(CCC=C(C)C)C=C)CO" "lyngbyatoxin" "C27H39N3O2"
"197270" "NRP" "Lysobacter sp. ATCC 53042" "BGC0000385" 324869 "CC[C@H](C)[C@@H]1NC(=O)[C@@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](N)CC(C)C)[C@H](OC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC1=O)[C@H](C)O)[C@H](O)C(N)=O)C1=CC=CC=C1)[C@H](O)C(C)C" "lysobactin" "C58H97N15O17"
"90658418" "NRP" "Streptomyces hygroscopicus" "BGC0000388" 1912 "C[C@H]([C@H]1C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)NCC(=O)N1)CO)[C@H]([C@@H]2CNC(=[N+]2[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)O)O)O)O)N)O)[C@H]([C@@H]4C[NH+]=C(N4)N)O)CC5=CC=C(C=C5)O[C@@H]6[C@H]([C@H]([C@@H]([C@H](O6)CO)O[C@@H]7[C@H]([C@H]([C@@H]([C@H](O7)CO)O)OC(=O)CC(C)C)O)O)O)C8=CC=CC=C8" "mannopeptimycin" "C58H86N12O26+2"
"3085238" "NRP" "Streptomyces lusitanus" "BGC0000394" 68232 "COC1=C(C)C(=O)C2=C(C(CO)N3C(O)C4CC5C6OCCN6C2C3C5N4C)C1=O" "naphthyridinomycin" "C21H27N3O6"
"6419429" "NRP" "Nocardia uniformis subsp. tsuyamanensis" "BGC0000395" 96045 "NC(CCOC1=CC=C(C=C1)C(=NO)C(=O)NC1CN(C(C(O)=O)C2=CC=C(O)C=C2)C1=O)C(O)=O" "nocardicin A" "C23H24N4O9"
"14217092" "NRP" "Nostoc sp. 73.1" "BGC0000396" 707671 "CO[C@@H](CC1=CC=CC=C1)[C@@H](C)\C=C(/C)\C=C\[C@@H]1NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](C)[C@@H](NC(=O)\C(=C\C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]1C)C(O)=O)C(O)=O" "nodularin" "C41H60N8O10"
"78319277" "NRP" "Paenibacillus sp. OSY-SE" "BGC0000400" 1196323 "CCCCCCCCCCCCCCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@H]1[C@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC1=O)CCCN)CO)C(C)C)CCCCN)CO)[C@@H](C)CC)C(C)C)CCCCN)[C@@H](C)CC)C" "paenibacterin" "C79H145N17O17"
"23668834" "NRP" "Penicillium chrysogenum" "BGC0000404" 5076 "CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[Na+]" "penicillin" "C16H17N2NaO4S"
"25244585" "NRP" "Streptomyces viridochromogenes" "BGC0000406" 1938 "CP(=O)(CCC(C(=O)[O-])[NH3+])[O-]" "phosphinothricintripeptide" "C5H11NO4P-"
"5491283" "NRP" "Bacillus subtilis subsp. subtilis" "BGC0000407" 135461 "CCCCCCCCCCCCCC(CC(=O)NC(CCC(=O)O)C(=O)NC(CCCN)C(=O)NC1CC2=CC=C(C=C2)OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C3CCCN3C(=O)C(NC(=O)C(NC(=O)C(NC1=O)C(C)O)CCC(=O)O)C)CCC(=O)N)CC4=CC=C(C=C4)O)C(C)CC)O" "plipastatin" "C72H110N12O20"
"5702105" "NRP" "Paenibacillus polymyxa" "BGC0000408" 1406 "CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC2=CC=CC=C2)CC(C)C)CCN)CCN)C(C)O.OS(=O)(=O)O" "polymyxin" "C56H100N16O17S"
"5462518" "NRP" "Pseudomonas aeruginosa PAO1" "BGC0000412" 208964 "[H][C@@]1(CSC(=N1)C1=CC=CC=C1O)[C@@]1([H])SC[C@H](N1C)C(O)=O" "pyochelin" "C14H16N2O3S2"
"158486" "NRP" "Streptomyces melanovinaceus" "BGC0000414" 1182637 "CN1[C@H]2C[C@H]([C@@H]1[C@@H]3CC4=C([C@H]5N3[C@@H]2OC5)C(=CC=C4)OC)C(=O)O" "quinocarcin" "C18H22N2O4"
"3197" "NRP" "Streptomyces griseovariabilis subsp. bandungensis" "BGC0000415" 284637 "CC1C(=O)N(C2CSC(C(C(=O)N(C(C(=O)OCC(C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)C(NC(=O)C(COC(=O)C(N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C" "quinomycin" "C51H64N12O12S2"
"16131418" "NRP" "Amycolatopsis lurida" "BGC0000418" 31959 "CC1C(C(CC(O1)OC2C3C(=O)NC(C4=CC(=CC(=C4C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)C6C7=CC(=C(C(=C7)OC8=CC=C2C=C8)OC9C(C(C(C(O9)COC1C(C(C(C(O1)C)O)O)O)O)O)OC1C(C(C(C(O1)CO)O)O)OC1C(C(C(CO1)O)O)O)OC1=CC=C(C=C1)C(C1C(=O)NC(C2=CC(=C(C(=C2)O)C)OC2=C(C=CC(=C2)C(C(=O)N1)N)O)C(=O)N6)O)O)OC1C(C(C(C(O1)CO)O)O)O)O)C(=O)OC)N)O" "ristocetin" "C95H110N8O44"
"16131418" "NRPSaccharide" "Amycolatopsis japonica" "BGC0000419" 208439 "CC1C(C(CC(O1)OC2C3C(=O)NC(C4=CC(=CC(=C4C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)C6C7=CC(=C(C(=C7)OC8=CC=C2C=C8)OC9C(C(C(C(O9)COC1C(C(C(C(O1)C)O)O)O)O)O)OC1C(C(C(C(O1)CO)O)O)OC1C(C(C(CO1)O)O)O)OC1=CC=C(C=C1)C(C1C(=O)NC(C2=CC(=C(C(=C2)O)C)OC2=C(C=CC(=C2)C(C(=O)N1)N)O)C(=O)N6)O)O)OC1C(C(C(C(O1)CO)O)O)O)O)C(=O)OC)N)O" "ristomycin A" "C95H110N8O44"
NA "NRP" "Penicillium rubens Wisconsin 54-1255" "BGC0000420" 500485 NA "histidyltryptophanyldiketopiperazine" NA
NA "NRP" "Penicillium rubens Wisconsin 54-1255" "BGC0000420" 500485 NA "dehydrohistidyltryptophanyldiketopiperazine" "C17H15N5O2"
NA "NRP" "Penicillium rubens Wisconsin 54-1255" "BGC0000420" 500485 "CC(C)(C=C)C12CC3N(C1NC1=CC=CC=C21)C(=O)C(CC1=CN=CN1)NC3=O" "roquefortine D" "C22H25N5O2"
"5935070" "NRP" "Penicillium rubens Wisconsin 54-1255" "BGC0000420" 500485 "[H][C@@]12NC3=C(C=CC=C3)[C@@]1(C[C@@H]1N2C(=O)\C(NC1=O)=C/C1=CN=CN1)C(C)(C)C=C" "roquefortine C" "C22H23N5O2"
"91820007" "NRP" "Penicillium rubens Wisconsin 54-1255" "BGC0000420" 500485 "CC(C)(C=C)C12C=C(C(=O)N\3C1(NC4=CC=CC=C24)NC(=O)/C3=C\C5=CN=CN5)O" "glandicoline A" "C22H21N5O3"
"91820473" "NRP" "Penicillium rubens Wisconsin 54-1255" "BGC0000420" 500485 "CC(C)(C=C)C12C=C(C(=O)N\3C1(NC(=O)/C3=C\C4=CN=CN4)N(C5=CC=CC=C25)O)O" "glandicoline B" "C22H21N5O4"
NA "NRP" "Penicillium rubens Wisconsin 54-1255" "BGC0000420" 500485 "CON1C2=C(C=CC=C2)[C@]2(C=C(O)C(=O)N3\C(=C\C4=CNC=N4)C(=O)N[C@]123)C(C)(C)C=C" "meleagrine" "C23H23N5O4"
"160293" "NRP" "Pseudomonas fluorescens" "BGC0000421" 294 "CC1=C(C(=C2[C@H]3[C@@H]4CC5=C([C@@H](N4C[C@H](N3C)CC2=C1)CNC(=O)[C@H](C)N)C(=O)C(=C(C5=O)C)OC)O)OC" "safracin A" "C28H36N4O6"
NA "NRP" "Pseudomonas fluorescens" "BGC0000421" 294 "CC1=C(OC)C(O)=C2[C@H]3[C@@H]4CC5=C(C(C(OC)=C(C)C5=O)=O)[C@H](CNC([C@@H](N)C)=O)N4C(O)[C@@H](CC2=C1)N3C" "safracin B" "C28H36N4O7"
"100594" "NRP" "Streptomyces lavendulae" "BGC0000422" 1914 "CC1=C(C(=O)C2=C(C1=O)C[C@H]3[C@H]4C5=C(C[C@H](N4C)[C@@H](N3[C@H]2CNC(=O)C(=O)C)C#N)C(=O)C(=C(C5=O)OC)C)OC" "saframycin A" "C29H30N4O8"
"171748" "NRP" "Streptomyces lavendulae" "BGC0000422" 1914 "CC1=C(C(=O)C2=C(C1=O)C[C@@H]3CN4[C@H]([C@H]2N3C)CC5=C([C@@H]4CNC(=O)C(=O)C)C(=O)C(=C(C5=O)C)OC)OC" "saframycin B" "C28H31N3O8"
"6437361" "NRP" "Streptosporangium sibiricum" "BGC0000428" 457432 "CN[C@H]1[C@H](C)O[C@@H](OC2=CC3=C(N[C@H](O)[C@@H]4CC(\C=C\C)=CN4C3=O)C(O)=C2C)[C@H](O)[C@]1(C)O" "sibiromycin" "C24H33N3O7"
"101790016" "NRPPolyketide" "Streptomyces sp. Acta 2897" "BGC0000429" 1001349 "C/C=C\C1=CC=CC=C1/C=C/C(=N[C@H]2C(OC(=O)[C@@H](N=C([C@H](N=C(C(N=C([C@H](N=C([C@@H](N=C([C@@H]3CCCN3C(=O)[C@@H](N=C(CN=C([C@@H](N=C([C@@H](N=C2O)C)O)[C@H](C)C(=O)O)O)O)C(C4=CC=CC=C4)O)O)C(C5=CC=C(C=C5)OC)O)O)C6=CNC7=CC=CC=C76)O)O)O)CC(C)C)O)[C@H](C(C)C)O)C)O" "RP-1776" "C74H92N12O20"
"71449303" "NRPPolyketide" "Nodularia spumigena CCY9414" "BGC0000430" 313624 "C[C@H]1C[C@H](N(C1)C(=O)[C@@H](CCC2=CC=C(C=C2)O)NC(=O)[C@@H](CC3=CC=C(C=C3)O)O)C(=O)NC(CCCN=C(N)N)C=O" "spumigin E" "C31H42N6O7"
"198906" "NRP" "Streptomyces rochei" "BGC0000432" 1928 "C1[C@H]([C@@H]2[C@@H](C(=O)N1)N=C(N2)N[C@H]3[C@@H]([C@@H]([C@H]([C@H](O3)CO)OC(=O)N)O)NC(=O)C[C@H](CCCNC(=O)C[C@H](CCCNC(=O)C[C@H](CCCNC(=O)C[C@H](CCCNC(=O)C[C@H](CCCNC(=O)C[C@H](CCCN)N)N)N)N)N)N)O" "streptothricin" "C49H94N18O13"
"6857738" "NRP" "Streptomyces sp. SNA15896" "BGC0000434" 497689 "CC1CC11N(C)C(=O)C2CSSCC(N(C)C(=O)C(C)NC(=O)C(COC1=O)NC(=O)C1=NC3=C(C=CC=C3)C=C1O)C(=O)N(C)C1(CC1C)C(=O)OCC(NC(=O)C1=NC3=C(C=CC=C3)C=C1O)C(=O)NC(C)C(=O)N2C" "SW-163C" "C52H60N10O14S2"
NA "NRP" "Streptomyces sp. SNA15896" "BGC0000434" 497689 "[H][C@]12CS[C@@H](SC)[C@]([H])(N(C)C(=O)[C@H](C)NC(=O)[C@@H](COC(=O)[C@@]3(C[C@@H]3C)N(C)C1=O)NC(=O)C1=C(O)C=C3C=CC=CC3=N1)C(=O)N(C)[C@]1(C[C@@H]1C)C(=O)OC[C@@H](NC(=O)C1=C(O)C=C3C=CC=CC3=N1)C(=O)N[C@@H](C)C(=O)N2C" "UK-63598" "C53H62N10O14S2"
"6857739" "NRP" "Streptomyces sp. SNA15896" "BGC0000434" 497689 "CCSC1SCC2N(C)C(=O)C(C)NC(=O)C(COC(=O)C3(CC3C)N(C)C(=O)C1N(C)C(=O)C(C)NC(=O)C(COC(=O)C1(CC1C)N(C)C2=O)NC(=O)C1=C(O)C=C2C=CC=CC2=N1)NC(=O)C1=NC2=CC=CC=C2C=C1O" "SW-163E" "C54H64N10O14S2"
NA "NRP" "Streptomyces sp. SNA15896" "BGC0000434" 497689 "[H][C@]12CS[C@H](SC(C)C)[C@]([H])(N(C)C(=O)[C@H](C)NC(=O)[C@@H](COC(=O)[C@@]3(C[C@@H]3C)N(C)C1=O)NC(=O)C1=C(O)C=C3C=CC=CC3=N1)C(=O)N(C)[C@]1(C[C@@H]1C)C(=O)OC[C@@H](NC(=O)C1=C(O)C=C3C=CC=CC3=N1)C(=O)N[C@@H](C)C(=O)N2C" "SW-163F" "C55H66N10O14S2"
"101478663" "NRP" "Streptomyces sp. SNA15896" "BGC0000434" 497689 "CCC(C)S[C@@H]1[C@H]2C(=O)N([C@]3(C[C@@H]3C)C(=O)OC[C@H](C(=O)N[C@H](C(=O)N([C@@H](CS1)C(=O)N([C@]4(C[C@@H]4C)C(=O)OC[C@H](C(=O)N[C@H](C(=O)N2C)C)NC(=O)C5=NC6=CC=CC=C6C=C5O)C)C)C)NC(=O)C7=NC8=CC=CC=C8C=C7O)C" "SW-163G" "C56H68N10O14S2"
"24978526" "NRP" "Rhizobium sp. AP16" "BGC0000436" 1144306 "CC(C)C(NC(=O)NC(C(C)C)C(=O)NC1\C=C/CCNC(=O)\C=C/C(NC1=O)C(C)C)C(O)=O" "syringolin A" "C24H39N5O6"
"11966095" "NRP" "Pseudomonas syringae pv. syringae B728a" "BGC0000437" 205918 "CCCCCCCCC[C@@H](CC(=O)N[C@H]1COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)/C(=C/C)/NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC1=O)CO)CCN)CCN)CCCN=C(N)N)CC2=CC=CC=C2)[C@@H](C(=O)O)O)[C@@H](CCl)O)O" "syringomycin" "C53H85ClN14O17"
"101985870" "NRP" "Pseudomonas syringae pv. syringae" "BGC0000438" 321 "CCCCCCCC(CC(=N/C(=C\C)/C(=O)N1CCC[C@H]1C(=N[C@@H](C(C)C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C(C)C)C(=N[C@@H](CC(C)C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N/C(=C\C)/C(=N[C@@H](C(C)C)C(=N/C(=C\C)/C(=N[C@@H](C)C(=N[C@@H](C(C)C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N/C(=C\C)/C(=N[C@H]2C(OC(=O)[C@@H](N=C([C@@H](N=C([C@@H](N=C([C@@H](N=C([C@@H](N=C([C@@H](N=C([C@@H](N=C2O)CO)O)C)O)C(C)C)O)C)O)CCN)O)CCN)O)CC3=CC=C(C=C3)O)C)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O" "syringopeptin 25A" "C113H183N27O30"
"16162959" "NRP" "Actinoplanes teichomyceticus" "BGC0000440" 1867 "C1[C@@H]2C(=O)N[C@@H](C3=CC(=CC(=C3)O)OC4=C(C=CC(=C4)[C@H](C(=O)N2)N)O)C(=O)N[C@@H]5C6=CC(=C(C(=C6)OC7=C(C=C(C=C7)[C@H]([C@H]8C(=O)NC(C9=CC(=CC(=C9C2=C(C=CC(=C2)[C@H](C(=O)N8)NC5=O)O)O)O)C(=O)O)O)Cl)O)OC2=C(C=C1C=C2)Cl" "teicoplanin" "C58H45Cl2N7O18"
"16162959" "NRP" "Actinoplanes teichomyceticus" "BGC0000441" 1867 "C1[C@@H]2C(=O)N[C@@H](C3=CC(=CC(=C3)O)OC4=C(C=CC(=C4)[C@H](C(=O)N2)N)O)C(=O)N[C@@H]5C6=CC(=C(C(=C6)OC7=C(C=C(C=C7)[C@H]([C@H]8C(=O)NC(C9=CC(=CC(=C9C2=C(C=CC(=C2)[C@H](C(=O)N8)NC5=O)O)O)O)C(=O)O)O)Cl)O)OC2=C(C=C1C=C2)Cl" "teicoplanin" "C58H45Cl2N7O18"
"132528124" "NRP" "Pseudomonas sp. SHC52" "BGC0000443" 984195 "CCCCCCCCCCCCC(C(CC(=O)NC1COC(=O)C(NC(=O)C(NC(=O)/C(=C\C)/NC(=O)C(CC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)(CCCN)O)CC(=O)O)CCO)CC2=C3C=CNC3=CC=C2)C(C)O)C(C(=O)O)O)C(CCl)O)O)O" "thanamycin" "C60H91ClN10O22"
"128363" "NRP" "Klebsiella oxytoca" "BGC0000446" 571 "C1C[C@H]2[C@@H](NC3=C(C=CC=C3O)C(=O)N2C1)C4=CNC5=CC=CC=C54" "tilivalline" "C20H19N3O2"
NA "NRP" "Klebsiella oxytoca" "BGC0000446" 571 "O=C1C2=C(C=CC=C2)N[C@@H](C3=CNC4=C3C=CC=C4)[C@@]5([H])N1CCC5" "9-deoxy tilivalline" "C20H19N3O"
NA "NRP" "Klebsiella oxytoca" "BGC0000446" 571 "O=C1C2=C(C(O)=CC(O)=C2)N[C@@H](C3=CNC4=C3C=CC=C4)[C@@]5([H])N1CCC5" "dihydroxy tilivalline" "C20H19N3O3"
NA "NRP" "Klebsiella oxytoca" "BGC0000446" 571 "O=C1C2=C(C(O)=CC=C2)N[C@@H](C3=CNC4=C3C=CC=C4)[C@@]5([H])N1C=CC5" "dehydro tilivalline" "C20H17N3O2"
NA "NRP" "Klebsiella oxytoca" "BGC0000446" 571 "O=C1C2=C(C(O)=CC(O)=C2)N[C@@H](C3=CNC4=C3C=CC=C4)[C@@]5([H])N1C=CC5" "dihydroxy-dehydro tilivalline" "C20H17N3O3"
